lead_id,company_legal_name,suggested_domain_UNVERIFIED,method
T9-0016,ASML HOLDING NV,asml.com,clearbit_shortname
T9-0023,"CISCO SYSTEMS, INC.",cisco.com,clearbit_shortname
T9-0042,NOVARTIS AG,novartis.com,clearbit_shortname
T9-0061,NOVO NORDISK A S,novo.co,clearbit_shortname
T9-0066,AMPHENOL CORP /DE/,amphenol.com,clearbit_shortname
T9-0076,"T-Mobile US, Inc.",t-mobile.com,clearbit_shortname
T9-0079,QUALCOMM INC/DE,qualcomm.com,clearbit_shortname
T9-0084,VERIZON COMMUNICATIONS INC,verizon.com,clearbit_shortname
T9-0087,TotalEnergies SE,totalenergies.com,clearbit_shortname
T9-0095,ABBOTT LABORATORIES,abbott.com,clearbit_shortname
T9-0099,Anheuser-Busch InBev SA/NV,anheuser-busch.com,clearbit_shortname
T9-0106,INTUITIVE SURGICAL INC,intuitive.com,clearbit_shortname
T9-0108,SOUTHERN COPPER CORP/,southerncompany.com,clearbit_shortname
T9-0112,DANAHER CORP /DE/,danaher.com,clearbit_shortname
T9-0117,PROGRESSIVE CORP/OH/,progressive.com,clearbit_shortname
T9-0119,VERTEX PHARMACEUTICALS INC / MA,vertexinc.com,clearbit_shortname
T9-0127,LOWES COMPANIES INC,lowes.com,clearbit_shortname
T9-0136,MIZUHO FINANCIAL GROUP INC,mizuhogroup.com,clearbit_shortname
T9-0146,Howmet Aerospace Inc.,howmet.com,clearbit_shortname
T9-0153,PETROBRAS - PETROLEO BRASILEIRO SA,petrobras.com.br,clearbit_shortname
T9-0154,NEWMONT Corp /DE/,newmont.com,clearbit_shortname
T9-0158,"Robinhood Markets, Inc.",robinhood.com,clearbit_shortname
T9-0164,Spotify Technology S.A.,spotify.com,clearbit_shortname
T9-0168,AUTOMATIC DATA PROCESSING INC,automatic.com,clearbit_shortname
T9-0188,Lloyds Banking Group plc,lloyds.com,clearbit_shortname
T9-0197,MOODYS CORP /DE/,moodys.com,clearbit_shortname
T9-0199,Constellation Energy Corp,constellation.com,clearbit_shortname
T9-0211,ENTERPRISE PRODUCTS PARTNERS L.P.,enterprise.com,clearbit_shortname
T9-0215,Honeywell Aerospace Inc.,honeywell.com,clearbit_shortname
T9-0219,EMERSON ELECTRIC CO,emerson.com,clearbit_shortname
T9-0227,AGNICO EAGLE MINES LTD,agnico.org,clearbit_shortname
T9-0240,HONEYWELL INTERNATIONAL INC,honeywell.com,clearbit_shortname
T9-0241,"TRAVELERS COMPANIES, INC.",travelers.com,clearbit_shortname
T9-0256,"REGENERON PHARMACEUTICALS, INC.",regeneron.com,clearbit_shortname
T9-0257,MANULIFE FINANCIAL CORP,manulife.com,clearbit_shortname
T9-0262,Ferrari N.V.,ferrari.com,clearbit_shortname
T9-0273,Arthur J. Gallagher & Co.,arthur.ai,clearbit_shortname
T9-0277,TRUIST FINANCIAL CORP,truist.com,clearbit_shortname
T9-0290,STMicroelectronics N.V.,st.com,clearbit_shortname
T9-0294,ARGENX SE,argenx.com,clearbit_shortname
T9-0295,CARRIER GLOBAL Corp,carrier.com,clearbit_shortname
T9-0306,"L3HARRIS TECHNOLOGIES, INC. /DE/",l3harris.com,clearbit_shortname
T9-0312,ONEOK INC /NEW/,oneok.com,clearbit_shortname
T9-0314,Nebius Group N.V.,nebius.ai,clearbit_shortname
T9-0319,ENTERGY CORP /DE/,entergy.com,clearbit_shortname
T9-0322,TAKEDA PHARMACEUTICAL CO LTD,takeda.com,clearbit_shortname
T9-0331,SUMITOMO ELECTRIC INDUSTRIES LTD/ADR/,sumitomocorp.com,clearbit_shortname
T9-0339,OCCIDENTAL PETROLEUM CORP /DE/,occidentalbar.com,clearbit_shortname
T9-0340,Ferrovial N.V.,ferrovial.com,clearbit_shortname
T9-0343,AMBEV S.A.,ambev.com.br,clearbit_shortname
T9-0351,DEVON ENERGY CORP/DE,streamershaven.blog,clearbit_shortname
T9-0356,Cerebras Systems Inc.,cerebra.sa,clearbit_shortname
T9-0364,Credo Technology Group Holding Ltd,credobeauty.com,clearbit_shortname
T9-0366,HORTON D R INC /DE/,hortonsk9.com,clearbit_shortname
T9-0368,Ferguson Enterprises Inc. /DE/,ferguson.com,clearbit_shortname
T9-0371,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,westinghouse.com,clearbit_shortname
T9-0378,"Coinbase Global, Inc.",coinbase.com,clearbit_shortname
T9-0379,BECTON DICKINSON & CO,becton.com.au,clearbit_shortname
T9-0400,SWISSCOM AG,swisscom.ch,clearbit_shortname
T9-0421,WATERS CORP /DE/,waters.com,clearbit_shortname
T9-0435,ERICSSON LM TELEPHONE CO,ericsson.com,clearbit_shortname
T9-0474,BeOne Medicines Ltd.,beoneyoga.com.au,clearbit_shortname
T9-0477,ESTEE LAUDER COMPANIES INC,st-c.co.jp,clearbit_shortname
T9-0483,CITIZENS FINANCIAL GROUP INC/RI,citizensbank.com,clearbit_shortname
T9-0490,"Qnity Electronics, Inc.",qnityre.com,clearbit_shortname
T9-0494,CASEYS GENERAL STORES INC,caseys.com,clearbit_shortname
T9-0505,Kongsberg Gruppen ASA/ADR,gdongkai.com,clearbit_shortname
T9-0513,Otis Worldwide Corp,otis.com,clearbit_shortname
T9-0519,INNIO N.V.,innio.biz,clearbit_shortname
T9-0525,TENARIS SA,tenaris.com,clearbit_shortname
T9-0526,Fresenius SE & Co. KGaA,fresenius.com,clearbit_shortname
T9-0532,BERKLEY W R CORP,berkleysciencemagnet.com,clearbit_shortname
T9-0546,Synchrony Financial,synchrony.com,clearbit_shortname
T9-0549,PULTEGROUP INC/MI/,pultegroupinc.com,clearbit_shortname
T9-0554,"Rivian Automotive, Inc. / DE",rivian.com,clearbit_shortname
T9-0559,"Verisk Analytics, Inc.",verisk.com,clearbit_shortname
T9-0560,BioNTech SE,biontech.com,clearbit_shortname
T9-0561,nVent Electric plc,nvent.com,clearbit_shortname
T9-0570,Smurfit Westrock plc,smur-fit.co.uk,clearbit_shortname
