lead_id,company_legal_name
T9-0011,ELI LILLY & Co
T9-0020,APPLIED MATERIALS INC /DE
T9-0026,COSTCO WHOLESALE CORP /NEW
T9-0027,BANK OF AMERICA CORP /DE/
T9-0036,ARM HOLDINGS PLC /UK
T9-0039,"Merck & Co., Inc."
T9-0041,KLA CORP
T9-0049,INTERNATIONAL BUSINESS MACHINES CORP
T9-0052,WELLS FARGO & COMPANY/MN
T9-0059,MITSUBISHI UFJ FINANCIAL GROUP INC
T9-0073,TORONTO DOMINION BANK
T9-0077,SAP SE
T9-0086,Walt Disney Co
T9-0088,TJX COMPANIES INC /DE/
T9-0089,CORNING INC /NY
T9-0090,SCHWAB CHARLES CORP
T9-0091,DEERE & CO
T9-0093,UBS Group AG
T9-0109,Booking Holdings Inc.
T9-0114,DEUTSCHE TELEKOM AG
T9-0128,CAPITAL ONE FINANCIAL CORP
T9-0131,British American Tobacco p.l.c.
T9-0133,BANK OF MONTREAL /CAN/
T9-0140,PDD Holdings Inc.
T9-0143,INFINEON TECHNOLOGIES AG
T9-0152,CANADIAN IMPERIAL BANK OF COMMERCE /CAN/
T9-0161,Bank of New York Mellon Corp
T9-0163,"PNC FINANCIAL SERVICES GROUP, INC."
T9-0166,MARRIOTT INTERNATIONAL INC /MD/
T9-0167,BROOKFIELD Corp /ON/
T9-0169,BP PLC
T9-0170,US BANCORP DE
T9-0172,UNITED PARCEL SERVICE INC
T9-0177,"ASE Technology Holding Co., Ltd."
T9-0178,ING GROEP NV
T9-0184,Itau Unibanco Holding S.A.
T9-0190,KKR & Co. Inc.
T9-0195,SIMON PROPERTY GROUP INC.
T9-0196,Johnson Controls International plc
T9-0198,CME GROUP INC.
T9-0203,3M CO
T9-0212,VALERO ENERGY CORP/TX
T9-0217,NORTHROP GRUMMAN CORP /DE/
T9-0218,CANADIAN PACIFIC KANSAS CITY LTD/CN
T9-0222,AMERICAN TOWER CORP /MA/
T9-0223,AMERICA MOVIL SAB DE CV/
T9-0225,Hilton Worldwide Holdings Inc.
T9-0235,"Intercontinental Exchange, Inc."
T9-0236,O REILLY AUTOMOTIVE INC
T9-0242,CINTAS CORP
T9-0243,NORFOLK SOUTHERN CORP
T9-0244,CRH PUBLIC LTD CO
T9-0253,NXP Semiconductors N.V.
T9-0255,DEUTSCHE BANK AKTIENGESELLSCHAFT
T9-0259,"ROSS STORES, INC."
T9-0261,ENI SPA
T9-0263,SLB LIMITED/NV
T9-0269,Nu Holdings Ltd.
T9-0275,BARRICK MINING CORP
T9-0278,"W.W. GRAINGER, INC."
T9-0280,Sea Ltd
T9-0300,"Cencora, Inc."
T9-0327,FIFTH THIRD BANCORP
T9-0337,FLEX LTD.
T9-0350,"Block, Inc."
T9-0357,"BILI Social International, Inc."
T9-0372,SUN LIFE FINANCIAL INC
T9-0373,MEXICAN ECONOMIC DEVELOPMENT INC
T9-0374,IDEXX LABORATORIES INC /DE
T9-0386,"AMERICAN INTERNATIONAL GROUP, INC."
T9-0390,Bayerische Motoren Werke AG/ADR
T9-0393,PUBLIC SERVICE ENTERPRISE GROUP INC
T9-0396,JBS N.V.
T9-0406,THOMSON REUTERS CORP /CAN/
T9-0408,"WEC ENERGY GROUP, INC."
T9-0417,"HARTFORD INSURANCE GROUP, INC."
T9-0422,"TKO Group Holdings, Inc."
T9-0427,BANK BRADESCO
T9-0429,HUNTINGTON BANCSHARES INC /MD/
T9-0430,Strategy Inc
T9-0431,MARTIN MARIETTA MATERIALS INC
T9-0432,"JD.com, Inc."
T9-0440,FAIRFAX FINANCIAL HOLDINGS LTD/ CAN
T9-0457,"Expedia Group, Inc."
T9-0468,SHINHAN FINANCIAL GROUP CO LTD
T9-0473,CREDICORP LTD
