# state	url	reason  (one line per source this lane could not turn into a fact)
UNCHECKABLE	https://sgforge.com/.well-known/xrp-ledger.toml	HTTP 404
UNCHECKABLE	https://bitstamp.net/.well-known/xrp-ledger.toml	HTTP 404
UNCHECKABLE	https://circle.com/.well-known/xrp-ledger.toml	HTTP 404
UNCHECKABLE	https://quantoz.com/.well-known/xrp-ledger.toml	HTTP 404
UNCHECKABLE	https://schuman.io/.well-known/xrp-ledger.toml	HTTP 404
UNCHECKABLE	https://bpgbullion.com/.well-known/xrp-ledger.toml	HTTP 400
UNCHECKABLE	https://www.palaugov.pw/.well-known/xrp-ledger.toml	HTTP 202
UNCHECKABLE	https://www.swift.com/news-events/press-releases/swifts-blockchain-ledger-ready-use-17-banks-set-pioneer-tokenised-cross-border-payments-trusted-global-infrastructure	TimeoutError: The read operation timed out
UNCHECKABLE	https://www.bitstamp.net/	HTML shell (client-side rendered); facts not derivable from bytes
UNCHECKABLE	https://www.palaugov.pw/stablecoin	bot gate / captcha challenge (not bypassed)
SKIPPED	benji (all chains)	sibling lane public/interop/benji-onchain-supply-2026-09 already stages 9 unsigned benji.onchain.supply cards; not duplicated here
